epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80746,2.408,3.7762,2.22022,0.00267,1,0.28516,0.0818,2.07271,4.15939,2.12893,4e-05,4e-05,4e-05
2,13.2292,2.19658,3.53604,2.17882,0.00267,1,0.50857,0.14882,1.65718,3.64332,1.59877,9.901e-05,9.901e-05,9.901e-05
3,19.6289,1.63704,3.18115,1.60595,0.00267,1,0.78845,0.45887,1.33211,3.18661,1.32005,0.000156832,0.000156832,0.000156832
4,26.0005,1.38457,2.95406,1.42123,0.00267,1,0.89852,0.52899,1.24041,3.22232,1.34349,0.000213466,0.000213466,0.000213466
5,32.3885,1.31531,2.80351,1.30858,0.00267,1,0.90876,0.53392,1.14253,3.04599,1.24982,0.000268912,0.000268912,0.000268912
6,38.6624,1.31527,2.24193,1.28735,0.00267,1,0.85962,0.45921,1.20044,3.03351,1.32219,0.00032317,0.00032317,0.00032317
7,45.0134,1.37372,2.11381,1.36642,0.00267,1,0.81923,0.44097,1.20444,2.99631,1.33929,0.00037624,0.00037624,0.00037624
8,51.1871,1.42496,2.06042,1.3666,0.00267,1,0.76883,0.44504,1.21386,2.92727,1.28005,0.000428122,0.000428122,0.000428122
9,57.5,1.27934,1.81888,1.29735,0.00267,1,0.83423,0.51356,1.15596,2.89443,1.22054,0.000478816,0.000478816,0.000478816
10,63.8315,1.32765,2.00828,1.3521,0.00267,1,0.80955,0.48477,1.16922,2.91531,1.23644,0.000528322,0.000528322,0.000528322
11,70.1233,1.27662,1.8324,1.28334,0.00267,1,0.95124,0.59371,1.24583,2.79433,1.27766,0.00057664,0.00057664,0.00057664
12,76.3414,1.22449,1.83553,1.25173,0.00267,1,0.96396,0.60101,1.22743,2.82259,1.27633,0.00062377,0.00062377,0.00062377
13,82.5606,1.19704,1.75726,1.28875,0.80689,0.69823,0.86467,0.49769,1.3337,2.73932,1.38737,0.000669712,0.000669712,0.000669712
14,88.7012,1.15068,1.55057,1.20709,0.81499,0.73538,0.89698,0.54149,1.3278,2.62617,1.3143,0.000714466,0.000714466,0.000714466
15,94.9123,1.23885,1.76398,1.29017,0.83596,0.91667,0.94485,0.51896,1.51681,2.53265,1.52825,0.000758032,0.000758032,0.000758032
16,101.108,1.31088,1.74693,1.25773,0.8862,0.65055,0.89129,0.57443,1.32412,2.6226,1.31411,0.00080041,0.00080041,0.00080041
17,107.331,1.26108,1.70345,1.27405,0.86445,0.91667,0.9769,0.62056,1.25898,2.67986,1.24255,0.0008416,0.0008416,0.0008416
18,113.53,1.20195,1.81143,1.33456,0.84567,0.91349,0.93418,0.59653,1.30512,2.83315,1.2426,0.000881602,0.000881602,0.000881602
19,119.779,1.23845,1.75587,1.35219,1,0.21726,0.75606,0.47263,1.51373,2.9804,1.44154,0.000920416,0.000920416,0.000920416
20,125.931,1.29824,1.6766,1.28379,1,0.28126,0.69078,0.37465,1.42766,2.94581,1.36801,0.000958042,0.000958042,0.000958042
21,132.142,1.09256,1.8013,1.18758,0.8273,0.5,0.79833,0.43866,1.3748,2.81281,1.31296,0.00099448,0.00099448,0.00099448
22,138.321,1.23297,1.66697,1.32927,0.83508,0.66667,0.89605,0.5396,1.37759,2.54884,1.36338,0.00102973,0.00102973,0.00102973
23,144.518,1.2878,1.62573,1.31712,0.89308,0.69807,0.92724,0.53574,1.44158,2.45356,1.43483,0.00106379,0.00106379,0.00106379
24,150.631,1.21587,1.57585,1.30751,1,0.89229,0.98357,0.61762,1.39997,2.26945,1.39918,0.00109667,0.00109667,0.00109667
25,156.693,1.10327,1.44934,1.19698,1,0.81889,0.955,0.55536,1.58305,2.39193,1.51536,0.00112835,0.00112835,0.00112835
26,162.832,1.17521,1.49647,1.21335,0.94857,0.91667,0.92747,0.51176,1.64558,2.24471,1.63221,0.00115885,0.00115885,0.00115885
27,169.329,1.09866,1.44671,1.23659,0.91262,0.91667,0.96553,0.49543,1.56841,1.96678,1.63222,0.00118816,0.00118816,0.00118816
28,175.511,1.04467,1.32509,1.18751,0.89291,0.91667,0.90759,0.5235,1.51681,2.02148,1.60532,0.00121628,0.00121628,0.00121628
29,181.543,1.0556,1.49607,1.17093,0.89291,0.91667,0.90759,0.5235,1.51681,2.02148,1.60532,0.00124322,0.00124322,0.00124322
30,187.663,1.2333,1.6612,1.28388,0.85131,0.91667,0.88972,0.50674,1.5562,2.30498,1.59723,0.00126896,0.00126896,0.00126896
31,193.835,1.1108,1.43986,1.21231,0.84227,0.44794,0.63414,0.33021,1.46065,2.66591,1.49206,0.00129352,0.00129352,0.00129352
32,199.973,1.12365,1.40676,1.21417,0.75178,0.58333,0.65441,0.32957,1.58384,2.6892,1.67912,0.00131689,0.00131689,0.00131689
33,206.023,1.23522,1.53418,1.28039,0.75178,0.58333,0.65441,0.32957,1.58384,2.6892,1.67912,0.00133907,0.00133907,0.00133907
34,212.072,1.12846,1.35537,1.17548,0.73661,0.70092,0.76407,0.4378,1.47382,2.46241,1.58819,0.0013466,0.0013466,0.0013466
35,218.148,1.07785,1.33962,1.2242,0.85017,0.83333,0.82019,0.40889,1.47468,2.22866,1.53254,0.0013268,0.0013268,0.0013268
36,224.293,1.0065,1.4051,1.14872,0.89739,0.7304,0.87068,0.45793,1.6186,2.17167,1.56292,0.001307,0.001307,0.001307
37,230.435,1.16244,1.37138,1.23429,0.89739,0.7304,0.87068,0.45793,1.6186,2.17167,1.56292,0.0012872,0.0012872,0.0012872
38,236.772,0.96817,1.21253,1.16322,0.98359,0.58333,0.82463,0.47903,1.59666,2.11504,1.5487,0.0012674,0.0012674,0.0012674
39,243.084,1.0195,1.27991,1.20283,0.74812,0.75,0.80332,0.52503,1.36562,2.05333,1.37483,0.0012476,0.0012476,0.0012476
40,249.349,1.11994,1.32569,1.22808,0.88599,0.6493,0.81116,0.49129,1.41329,2.13059,1.48917,0.0012278,0.0012278,0.0012278
41,255.401,1.02482,1.28988,1.13828,0.88599,0.6493,0.81116,0.49129,1.41329,2.13059,1.48917,0.001208,0.001208,0.001208
42,261.577,1.03133,1.3131,1.17792,0.70033,0.75,0.79395,0.48298,1.44418,2.15053,1.58234,0.0011882,0.0011882,0.0011882
43,267.718,1.00256,1.14828,1.15318,0.8898,0.75,0.87587,0.56077,1.36052,1.77942,1.4152,0.0011684,0.0011684,0.0011684
44,273.884,1.01312,1.06511,1.14429,0.78258,0.90085,0.86978,0.49175,1.42865,1.86245,1.51153,0.0011486,0.0011486,0.0011486
45,279.975,1.08932,1.42332,1.20165,0.78258,0.90085,0.86978,0.49175,1.42865,1.86245,1.51153,0.0011288,0.0011288,0.0011288
46,286.1,1.17252,1.44962,1.22267,0.73847,0.4731,0.62901,0.36099,1.54379,2.51946,1.67606,0.001109,0.001109,0.001109
47,292.186,1.05212,1.19063,1.17487,0.97014,0.41667,0.43556,0.30097,1.54179,3.1169,1.86016,0.0010892,0.0010892,0.0010892
